	A->C	A->G	A->T	C->A	C->G	C->T	G->A	G->C	G->T	T->A	T->C	T->G
-23	1.746e-3 [1.618e-3..1.885e-3]	3.815e-3 [3.623e-3..4.017e-3]	1.845e-3 [1.713e-3..1.987e-3]	4.369e-3 [4.059e-3..4.703e-3]	3.323e-3 [3.054e-3..3.616e-3]	8.602e-3 [8.163e-3..9.064e-3]	8.555e-3 [8.148e-3..8.982e-3]	3.779e-3 [3.512e-3..4.067e-3]	6.204e-3 [5.859e-3..6.570e-3]	3.039e-3 [2.840e-3..3.252e-3]	3.874e-3 [3.648e-3..4.113e-3]	1.782e-3 [1.631e-3..1.947e-3]
-22	1.623e-3 [1.502e-3..1.754e-3]	3.688e-3 [3.504e-3..3.883e-3]	1.910e-3 [1.779e-3..2.052e-3]	4.465e-3 [4.147e-3..4.809e-3]	2.819e-3 [2.568e-3..3.094e-3]	8.169e-3 [7.734e-3..8.627e-3]	7.504e-3 [7.117e-3..7.912e-3]	3.482e-3 [3.221e-3..3.764e-3]	5.813e-3 [5.473e-3..6.173e-3]	2.659e-3 [2.471e-3..2.861e-3]	3.620e-3 [3.400e-3..3.855e-3]	1.840e-3 [1.685e-3..2.009e-3]
-21	1.800e-3 [1.671e-3..1.939e-3]	3.928e-3 [3.735e-3..4.131e-3]	1.985e-3 [1.849e-3..2.130e-3]	4.944e-3 [4.611e-3..5.301e-3]	2.910e-3 [2.657e-3..3.187e-3]	8.641e-3 [8.197e-3..9.108e-3]	8.471e-3 [8.058e-3..8.906e-3]	3.821e-3 [3.546e-3..4.117e-3]	6.126e-3 [5.776e-3..6.498e-3]	3.046e-3 [2.848e-3..3.259e-3]	4.128e-3 [3.896e-3..4.374e-3]	1.983e-3 [1.824e-3..2.156e-3]
-20	1.645e-3 [1.520e-3..1.780e-3]	3.397e-3 [3.216e-3..3.589e-3]	2.019e-3 [1.880e-3..2.168e-3]	4.365e-3 [4.052e-3..4.702e-3]	2.802e-3 [2.554e-3..3.075e-3]	9.445e-3 [8.980e-3..9.934e-3]	8.183e-3 [7.765e-3..8.623e-3]	3.128e-3 [2.874e-3..3.405e-3]	6.162e-3 [5.801e-3..6.546e-3]	3.478e-3 [3.273e-3..3.697e-3]	4.216e-3 [3.989e-3..4.455e-3]	1.886e-3 [1.736e-3..2.048e-3]
-19	1.730e-3 [1.602e-3..1.869e-3]	3.760e-3 [3.568e-3..3.962e-3]	1.951e-3 [1.814e-3..2.099e-3]	4.156e-3 [3.853e-3..4.481e-3]	2.725e-3 [2.482e-3..2.991e-3]	8.782e-3 [8.338e-3..9.249e-3]	7.788e-3 [7.407e-3..8.189e-3]	3.930e-3 [3.661e-3..4.219e-3]	6.256e-3 [5.915e-3..6.617e-3]	2.756e-3 [2.566e-3..2.960e-3]	4.468e-3 [4.225e-3..4.725e-3]	1.954e-3 [1.795e-3..2.126e-3]
-18	1.583e-3 [1.459e-3..1.716e-3]	3.774e-3 [3.581e-3..3.978e-3]	1.971e-3 [1.833e-3..2.120e-3]	4.386e-3 [4.076e-3..4.719e-3]	2.985e-3 [2.731e-3..3.263e-3]	8.525e-3 [8.089e-3..8.984e-3]	8.652e-3 [8.242e-3..9.083e-3]	3.720e-3 [3.454e-3..4.007e-3]	5.956e-3 [5.617e-3..6.315e-3]	2.857e-3 [2.667e-3..3.061e-3]	4.088e-3 [3.859e-3..4.330e-3]	2.026e-3 [1.867e-3..2.199e-3]
-17	1.765e-3 [1.638e-3..1.902e-3]	3.661e-3 [3.476e-3..3.856e-3]	2.203e-3 [2.060e-3..2.355e-3]	4.411e-3 [4.097e-3..4.749e-3]	3.056e-3 [2.796e-3..3.340e-3]	8.608e-3 [8.165e-3..9.074e-3]	7.748e-3 [7.352e-3..8.166e-3]	3.714e-3 [3.443e-3..4.007e-3]	5.737e-3 [5.397e-3..6.098e-3]	2.870e-3 [2.676e-3..3.077e-3]	4.363e-3 [4.123e-3..4.617e-3]	1.851e-3 [1.697e-3..2.019e-3]
-16	1.663e-3 [1.540e-3..1.796e-3]	4.012e-3 [3.818e-3..4.215e-3]	2.052e-3 [1.915e-3..2.199e-3]	4.728e-3 [4.402e-3..5.078e-3]	2.961e-3 [2.705e-3..3.240e-3]	8.396e-3 [7.958e-3..8.857e-3]	8.581e-3 [8.160e-3..9.024e-3]	3.919e-3 [3.637e-3..4.223e-3]	5.965e-3 [5.614e-3..6.336e-3]	2.717e-3 [2.529e-3..2.919e-3]	4.169e-3 [3.935e-3..4.417e-3]	2.132e-3 [1.966e-3..2.311e-3]
-15	1.830e-3 [1.698e-3..1.972e-3]	3.276e-3 [3.098e-3..3.464e-3]	1.988e-3 [1.850e-3..2.136e-3]	4.471e-3 [4.152e-3..4.814e-3]	2.619e-3 [2.377e-3..2.884e-3]	8.763e-3 [8.313e-3..9.237e-3]	8.109e-3 [7.695e-3..8.544e-3]	3.628e-3 [3.355e-3..3.924e-3]	5.787e-3 [5.439e-3..6.157e-3]	3.148e-3 [2.953e-3..3.356e-3]	4.435e-3 [4.202e-3..4.680e-3]	1.909e-3 [1.758e-3..2.073e-3]
-14	1.678e-3 [1.552e-3..1.814e-3]	3.950e-3 [3.754e-3..4.156e-3]	1.814e-3 [1.683e-3..1.956e-3]	4.801e-3 [4.477e-3..5.149e-3]	3.101e-3 [2.842e-3..3.383e-3]	8.810e-3 [8.368e-3..9.276e-3]	8.216e-3 [7.822e-3..8.630e-3]	4.051e-3 [3.776e-3..4.345e-3]	6.107e-3 [5.769e-3..6.466e-3]	2.635e-3 [2.449e-3..2.835e-3]	4.457e-3 [4.213e-3..4.715e-3]	2.121e-3 [1.955e-3..2.302e-3]
